vnr	ATC	valmiste	vahvuus	vahvuus_num	pkoko	pkoko_num
129419	N05AH04	QUETIAPIN RATIOPHARM	300 MG	300	60 FOL	60
129575	B03XA01	NEORECORMON	10000 IU	10000	6 x 0.6 ml	6
129610	N07BC05	LEVOPIDON	75 mg	75	7 x 30 ml	7
129652	C10AA01	SIMVASTATIN TEVA	10 MG	10	100 FOL	100
129674	C10AA01	SIMVASTATIN TEVA	20 MG	20	100 FOL	100
129685	C10AA01	SIMVASTATIN TEVA	40 MG	40	100 FOL	100
129696	C10AA01	SIMVASTATIN TEVA	80 MG	80	100 FOL	100
129718	C08CA07	SYSCOR	10MG	10	28 FOL	28
129791	C08CA07	SYSCOR	10 MG	10	98 FOL	98
129813	C09AA02	LINATILSAN	10 MG	10	30 FOL	30
129817	R03BB01	ATROVENT	"0,25 MG/ML"	0.25	60 X 2 ML	120
129819	G03AA07	LEVESIA	100 mikrog / 20 mikrog		3 x 28	84
129873	H01BB03	PABAL	100 mikrog/ml	100	5 x 1 ml	5
129973		NUTRISON MULTI FIBRE			500 ML	500
129986	N02AE01	BUPRENORPHINE ORION	5 mikrog/tunti	5	4	4
130013	N05AH04	SEROQUEL	100 MG	100	100 FOL	100
130021	N05AH04	SEROQUEL	200 MG	200	100 FOL	100
130195	C08CA07	SYSCOR	20MG	20	28 FOL	28
130203	C08CA07	SYSCOR	20 MG	20	98 FOL	98
130205	L02BG04	LETROZOL ACCORD	"2,5 MG"	2.5	30 FOL	30
130242	L01BB04	MAVENCLAD	10 mg	10	1	1
130243	N03AX12	NEURONTIN	800 MG	800	100 FOL	100
130309	L01AB01	BUSILVEX	6 mg/ml	6	8 x 10 ml	8
130344	C08CA07	SYSCOR	30MG	30	28 FOL	28
130370	L01CB01	ETOPOSIDE ACCORD	20 mg/ml	20	5 ml	5
130385	C08CA07	SYSCOR	30MG	30	98 FOL	98
130393	A12AX	OSTRAM-VIT.D3			30	30
130441	N01AH03	SUFENTA	5 mikrog/ml	5	5 x 2 ml	5
130449	N06BA04	METHYLPHENIDATE SANDOZ	18 MG	18	30 KPL	30
130550	R06AX22	KESTOX	20 MG	20	100 FOL	100
130596	N07BA03	CHAMPIX	"0,5 MG+1 MG"	0.5	11 + 42 FOL	53
130609	D01AC07	TROSYD	0.065	0.065	30G	30
130636	L01XC19	BLINCYTO	38.5 mikrog	38.5	38.5 mikrog + 10 ml	1
130658	C01BC03	PROPANORM	150MG	150	100	100
130773	C01BC03	PROPANORM	300MG	300	100	100
130808	B03XA02	ARANESP	150 mikrog	150	0.3 ml	1
130864	J01EA01	TRIMOPAN	160MG	160	10 FOL	10
130880	J01EA01	TRIMOPAN	160 MG	160	20 FOL	20
130895	N03AX12	GABAPENTIN SANDOZ	300 mg	300	100	100
130907	N03AX12	GABAPENTIN SANDOZ	400 mg	400	100	100
130944	A02BC05	ACIDAL	40 mg	40	100	100
130982	L03AX15	MEPACT	4 mg	4	4 mg	1
130994	L01XC08	VECTIBIX	20 mg/ml	20	5 ml	5
131041	L01XE05	NEXAVAR	200 mg	200	112	112
131114	N05AX08	RISPERIDON RATIOPHARM	4 mg	4	100	100
131140	M01AX01	NABUMETON BMM PHARMA	500 MG	500	60 FOL	60
131151	M01AX01	NABUMETON BMM PHARMA	500 MG	500	100 FOL	100
131155	H05BX01	CINACALCET MYLAN	90 mg	90	28	28
131243	N05AH02	LEPONEX	100 MG	100	50	50
131292	G03CA03	EVOREL	100MIKROG/24T	100	8	8
131296	A02BC02	PANTOPRAZOL  ACTAVIS	20 MG	20	14 FOL	14
131303	N02AX02	TRAMADOL VITABALANS	50 MG	50	20 FOL	20
131307	A02BC02	PANTOPRAZOL  ACTAVIS	20 MG	20	56 FOL	56
131319	A02BC02	PANTOPRAZOL  ACTAVIS	20 MG	20	100 FOL	100
131330	A02BC02	PANTOPRAZOL  ACTAVIS	20 MG	20	28 FOL	28
131341	A02BC02	PANTOPRAZOL  ACTAVIS	40 MG	40	14 FOL	14
131352	A02BC02	PANTOPRAZOL  ACTAVIS	40 MG	40	28 FOL	28
131363	A02BC02	PANTOPRAZOL  ACTAVIS	40 MG	40	56 FOL	56
131374	A02BC02	PANTOPRAZOL  ACTAVIS	40 MG	40	100 FOL	100
131443	A04AD12	APREPITANT STADA	80 mg	80	2	2
131474	N05AH02	LEPONEX	100 MG	100	100	100
131476	N06DA03	RIVASTOR	4.6 mg / 24 tuntia	4.6	7	7
131537	R03AK06	SALMEX	50 mikrog / 500 mikrog / annos		3 x 60 annosta	180
131557	M01AG02	CLOTAM RETARD	300MG	300	100	100
131565	G03CA03	EVOREL	100MIKROG/24T	100	26	26
131572	G03FA17	ANGELIQ	1 MG/2 MG		3 X 28 FOL	84
131601	R03BA02	BUDESONIDE STADA	0.25 mg/ml	0.25	20 x 2 ml	20
131605	N02AA05	OXANEST	10 mg/ml	10	5 x 10 ml	5
131620	C08CA01	AMLODIPINE VITABALANS	10 MG	10	100 FOL	100
131706	A06AC01	LUNELAX			20X4G	20
131720	N06AB10	ESCITALOPRAM SANDOZ	10 mg	10	14	10
131741	N02BE01	PARACETAMOL B. BRAUN	10 mg/ml	10	10 x 50 ml	50
131813	S02CA02	LOCACORTEN-VIOFORM	0.2 mg/ml + 10 mg/ml		7.5 ml	7.5
131851	B01AF01	XARELTO	10 MG	10	10 FOL	10
131863	B01AF01	XARELTO	10 MG	10	30 FOL	30
131874	B01AF01	XARELTO	10 mg	10	100 x 1	100
131889	C10AA05	ORBEOS	40 MG	40	90 KPL	90
131907	C10AA07	ROSUVASTATIN SANDOZ	20 mg	20	98	98
131919	C07FB02	LOGIMAX FORTE	10/95 MG		28 FOL	28
131930	C07FB02	LOGIMAX FORTE	10/95 MG		98 FOL	98
131941	C07FB02	LOGIMAX	"5/47,5 MG"		28 FOL	28
131952	C07FB02	LOGIMAX	"5/47,5 MG"		98 FOL	98
131963	L04AX02	THALIDOMIDE PHARMION	50 MG	50	28 FOL	28
132071	R05CB06	FLAVAMED	30 mg	30	20	20
132076	A10AD01	MIXTARD 30/70 PENFILL	100IU/ML	100	5X3ML	15
132084	A10AD01	MIXTARD 20/80 PENFILL	100IU/ML	100	5X3ML	15
132088	N03AX14	LEVETIRACETAM AVANSOR	500 MG	500	100 FOL	100
132279	N07BC05	LEVOPIDON	45 mg	45	7 x 18 ml	7
132290	M01AE01	BRUFEN	400MG	400	30	30
132306	L01DB03	EPIRUBICIN ACTAVIS	2 mg/ml	2	5 ml	5
132317	L01DB03	EPIRUBICIN ACTAVIS	2 mg/ml	2	10 ml	10
132328	L01DB03	EPIRUBICIN ACTAVIS	2 mg/ml	2	25 ml	25
132350	L01DB03	EPIRUBICIN ACTAVIS	2 mg/ml	2	100 ml	100
132357	J02AC01	DIFLUCAN	50MG	50	28 FOL	28
132370	N05AX15	REAGILA	4.5 mg	4.5	28	28
132616	R05CB06	FLAVAMED	60 mg	60	10	10
132633	D11AH05	DUPIXENT	300 mg	300	2 x 300 mg	2
132646	C09DA08	OLMESTAD COMP	20 mg / 25 mg		28	28
132663	N06BA04	CONCERTA	27 MG	27	30	30
132687	G03AA07	LEVESIA	100 mikrog / 20 mikrog		6 x 28	168
132748	N06AX16	VENLAFAXINE BLUEFISH	150 MG	150	100 FOL	100
132774	N05AH03	SOLAZIN	10 MG	10	28 FOL	28
132785	N05AH03	SOLAZIN	10 MG	10	56 FOL	56
132792	C07AG02	CARVEDILOL HEXAL	"12,5 MG"	12.5	30 FOL	30
132796	N05AH03	SOLAZIN	5 MG	5	28 FOL	28
132803	D07BC01	CELESTODERM C CHINOFORM			20G	20
132829	D07BC01	CELESTODERM C CHINOFORM			50G	50
132936	D07CC01	CELESTODERM C GARAMYCIN			20G	20
132944	D07CC01	CELESTODERM C GARAMYCIN			50G	50
133046	A02BC05	ESOPRAZ	40 mg	40	28	28
133074	L03AA10	GRANOCYTE	0.263MG=33.6 MILJ IU	0.263	5	5
133083	G04BE03	VIZARSIN	50 mg	50	12 x 1	12
133120	M03AX01	NEUROBLOC	5000 U/ML	5000	2 ML	2
133165	C07AB05	KERLON	10 MG	10	28	28
133174	J01DC02	CEFUROXIM STRAGEN	750 mg	750	10 x 750 mg	10
133215	J01DD14	CEDAX	200MG	200	14 FOL	14
133229	G04BD08	SOLIFENACIN RATIOPHARM	5 mg	5	90	90
133246	N02AA05	OXYCODONE RATIOPHARM	10 MG	10	30 FOL	30
133264	M01AB01	INDOCID	25MG	25	30 FOL	30
133272	M01AB01	INDOCID	25MG	25	100 FOL	100
133280	M01AB01	INDOCID	50MG	50	30 FOL	30
133298	M01AB01	INDOCID	50MG	50	100 FOL	100
133371	C07AB05	KERLON	10 MG	10	98	98
133384	B05ZB	PHOXILIUM	1.2 mmol/l fosfaatti	1.2	2 x 5000 ml	2
133396	B03XA03	MIRCERA	200 mikrog / 0.3 ml		200 mikrog	1
133539	N02CC04	RIZATRIPTAN STADA	10 mg	10	3	3
133547	C09DB01	AMLODIPIN/VALSARTAN KRKA	5 mg / 160 mg		100	100
133551	J05AG01	VIRAMUNE	200 mg	200	14	14
133568	L04AX03	TREXAN	2.5 mg	2.5	30	30
133607	L04AD01	SANDIMMUN NEORAL	25 MG	25	50 FOL	50
133618	L04AD01	SANDIMMUN NEORAL	50 MG	50	50 FOL	50
133630	L04AD01	SANDIMMUN NEORAL	100 MG	100	50 FOL	50
133647	J01MA12	LEVOFLOXACIN BLUEFISH	250 MG	250	5 FOL	5
133653	M05BA04	ALENDRONAT RANBAXY	70 MG	70	4 FOL	4
133664	M05BA04	ALENDRONAT RANBAXY	70 MG	70	12 FOL	12
133694	C01DA14	ISANGINA	20 MG	20	30 FOL	30
133722	A10BG03	PIOGLITAZONE ACCORD	30 MG	30	30 FOL	30
133781	A02BC05	ESOMEPRAZOL RATIOPHARM	40 mg	40	100	100
133793	N05AB02	SIQUALONE	5MG	5	100	100
133817	N05AH02	CLOZAPINE ACCORD	100 mg	100	30	30
133819	C01DA14	ISANGINA	20 MG	20	100 FOL	100
133868	N05AB02	SIQUALONE	1MG	1	100	100
133919	N06AX11	MIRTAZAPIN BLUEFISH	15 MG	15	30 FOL	30
133930	N06AX11	MIRTAZAPIN BLUEFISH	30 MG	30	30 FOL	30
133941	N06AX11	MIRTAZAPIN BLUEFISH	30 MG	30	96 FOL	96
133952	N06AX11	MIRTAZAPIN BLUEFISH	45 MG	45	30 FOL	30
133963	N06AX11	MIRTAZAPIN BLUEFISH	45 MG	45	96 FOL	96
133979	J02AC03	VORICONAZOLE SANDOZ	200 mg	200	56	56
134019	N06AX16	VENLAFAXINE BLUEFISH	75 MG	75	100 FOL	100
134031	M03BA53	ROBAXISAL FORTE			100	100
134049	C01DA14	ISANGINA	40 MG	40	100	100
134085	N06AX16	VENLAFAXINE BLUEFISH	150 MG	150	100 FOL	100
134163	J01DD02	GLAZIDIM	500 mg	500	500 mg	1
134175	L01BC53	TEYSUNO	"15/4,35/11,8 MG"		126 FOL	126
134189	J01DD02	GLAZIDIM	1 g	1	1 g	1
134199	A10BD10	KOMBOGLYZE	"2,5/1000 MG"		196 FOL	196
134285	B05BA10	NUTRIFLEX LIPID SPECIAL			5 x 625 ml	5
134296	C09AA10	GOPTEN	0.5MG	0.5	14 FOL	14
134335	C10BX15	EUVASCOR	20 mg / 10 mg	20	90 (3 x 30)	90
134338	J01FA09	KLACID	50 MG/ML	50	50 ML	50
134341	C09AA04	ACERTIL	8 MG	8	30 FOL	30
134352	S01EE05	TAFLOTAN	15 MIKROG/ML	15	"30 X 0,3 ML"	9
134363	C09AA04	ACERTIL	8 MG	8	90 FOL	90
134374	S01EE05	TAFLOTAN	15 MIKROG/ML	15	"90 X 0,3 ML"	27
134546	L03AB08	BETAFERON	250 MIKROG/ML	250	15 X 1 KPL	15
134550	C10AX09	EZETIMIB STADA	10 mg	10	30	30
134551	G03AA10	FEMODEN			3 x 21	63
134609	M01AH05	ETORICOXIB ORION	60 mg	60	100	100
134620	B02BD01	CONFIDEX	500 IU	500	500 IU + 20 ml	1
134631	J05AE08	REYATAZ	300 mg	300	30	30
134643	H02BX01	DEPO-MEDROL C LIDOCAIN	40/10 MG/ML		1 ML	1
134709	A10BD09	INCRESYNC	25/30 MG		28 FOL	28
134717	N03AX17	DIACOMIT	250 mg	250	60	60
134734	N05BA12	XANOR	1 MG	1	30 FOL	30
134752	M03BX02	TIZANIDIN TEVA	2 MG	2	30 FOL	30
134763	M03BX02	TIZANIDIN TEVA	2 MG	2	100 FOL	100
134774	M03BX02	TIZANIDIN TEVA	4 MG	4	30 FOL	30
134785	M03BX02	TIZANIDIN TEVA	4 MG	4	100 FOL	100
134809	N05BA12	XANOR	1 MG	1	100 FOL	100
134862	J05AR06	ATRIPLA	600 mg / 200 mg / 245 mg		30	30
134873	A02BC03	GASTERIX	30 MG	30	14	14
134874	N03AG01	DEPRAKINE	100MG	100	100 FOL	100
134884	A02BC03	GASTERIX	30 MG	30	28	28
134895	A02BC03	GASTERIX	30 MG	30	56	56
134906	A02BC03	GASTERIX	30 MG	30	100	100
134917	A02BC03	GASTERIX	15 MG	15	14	14
134928	A02BC03	GASTERIX	15 MG	15	28	28
134939	A02BC03	GASTERIX	15 MG	15	100	100
134989	N06AB10	ESIPRAL	10 MG	10	28 FOL	28
135039	C09CA03	VALSARTAN KRKA	40 MG	40	28 FOL	28
135047	C09DB02	OLMESARTAN MEDOXOMIL/AMLODIPINE KRKA	40 mg / 10 mg		28	28
135050	C09CA03	VALSARTAN KRKA	80 MG	80	28 FOL	28
135055	N02AA55	TARGINIQ	15 mg / 7.5 mg		28	28
135062	C09CA03	VALSARTAN KRKA	80 MG	80	98 FOL	98
135073	C09CA03	VALSARTAN KRKA	160 MG	160	28 FOL	28
135079	J01FA09	KLACID	50 MG/ML	50	100 ML	100
135084	C09CA03	VALSARTAN KRKA	160 MG	160	98 FOL	98
135090	C02KX05	ADEMPAS	"1,5 MG"	1.5	84 FOL	84
135095	M01AC01	FELDEN	20MG	20	60	60
135096	N06DA02	DONEPEZIL KRKA	5 MG	5	30 FOL	30
135107	N06DA02	DONEPEZIL KRKA	5 MG	5	100 FOL	100
135113	C09DA01	LOSATRIX COMP	100/25 MG		30 FOL	30
135118	N06DA02	DONEPEZIL KRKA	10 MG	10	30 FOL	30
135130	N06DA02	DONEPEZIL KRKA	10 MG	10	100 FOL	100
135145	N03AG01	DEPRAKINE	300MG	300	100 FOL	100
135161	G04CA02	TAMSUFARM	0.4 mg	0.4	90	90
135178	H01AC01	GENOTROPIN	12 MG	12	5 X 12 MG	5
135194	N03AG01	DEPRAKINE	500MG	500	100 FOL	100
135210	N03AG01	DEPRAKINE	300 MG	300	100	100
135262	N04BC04	ROPINIROL KRKA	8 MG	8	84 FOL	84
135269	N03AG01	DEPRAKINE	500 MG	500	100	100
135317	B05BB02	NATRIUMKLORID-GLUCOS BAXTER VIAFLO	9 mg/ml + 50 mg/ml		20 x 500 ml	20
135335	N03AG01	DEPRAKINE	60 MG/ML	60	200 ML	200
135343	N03AG01	DEPRAKINE	200 MG/ML	200	100 ML	100
135362	A10BK02	INVOKANA	300 mg	300	30 x 1	1
135434	R03BA05	FLIXOTIDE DISKUS	100 MIKROG/ANNOS	100	60	60
135447	D01AE14	ONYTEC	80 mg/g	80	6.6 ml	6.6
135477	L01CD01	ABRAXANE	5 mg/ml	5	100 mg	1
135491	C03CA01	LASIX RETARD	30MG	30	100	100
135509	C03CA01	LASIX RETARD	60MG	60	100	100
135525	V03AF03	LEUCOVORIN	10MG/ML	10	10ML	10
135533	E000001	NERIBASE			100 G	100
135542	L01AX03	TEMOZOLOMIDE HOSPIRA	100 MG	100	5 KPL	5
135574	G03FB06	DIVITREN	2 MG + 2 MG/20 MG		91	91
135638	N03AX16	PREGABALIN KRKA	300 mg	300	14	14
135639	N06AB05	PAROXETIN RATIOPHARM	20 MG	20	20 FOL	20
135650	N06AB05	PAROXETIN RATIOPHARM	20 MG	20	60 FOL	60
135654	B02BD02	AFSTYLA	1500 IU	1500	1500 IU + 5 ml	1
135661	N06AB05	PAROXETIN RATIOPHARM	20 MG	20	100 FOL	100
135723	A02BC03	LANZO	15MG	15	98 FOL	98
135739	C10AA04	FLUVASTATIN MYLAN	40 mg	40	28	28
135772	R03BA01	AEROBEC	50 MIKROG/ANNOS	50	200	200
135830	N02BA01	ACETARD	750MG	750	100	100
135832	G04BE03	SILDENAFIL PFIZER	25 mg	25	4	4
135846	N06DA02	DONEPEZIL ASPEN	5 MG	5	28 FOL	28
135855	R03BA01	AEROBEC	100 MIKROG/ANNOS	100	200	200
135871	C01BC03	RYTMONORM	150 MG	150	50	50
135906	N04BC04	ROPINIROL MYLAN	"0,5 MG"	0.5	21	21
135917	N04BC04	ROPINIROL MYLAN	1 MG	1	84	84
135921	N02BE01	PANADOL	1G	1	10	10
135928	N04BC04	ROPINIROL MYLAN	2 MG	2	84	84
135969	R03AK11	FLUTIFORM	250/10 MIKROG/ANNOS		120 ANNOSTA	120
136006	C09CA06	CANDESARTAN ACTAVIS	8 MG	8	30 FOL	30
136044	G04CB01	PROSCAR	5MG	5	28 FOL	28
136058	N06AB06	SERTRALINE ACCORD	100 mg	100	100	100
136085	H02BX01	DEPO-MEDROL C LIDOCAIN	40/10 MG/ML		2 ML	2
136093	B01AC16	INTEGRILIN	0.75 mg/ml	0.75	100 ml	100
136101	B01AC16	INTEGRILIN	2 mg/ml	2	10 ml	10
136119	C01BC03	RYTMONORM	300 MG	300	50	50
136121	B06AC01	CINRYZE	500 U	500	2	2
136135	G04CB01	PROSCAR	5MG	5	98 FOL	98
136154	V08AB10	IOMERON	250 mg I/ml	250	10 x 100 ml	10
136224	N03AX16	PREGABALIN PFIZER	75 mg	75	56	56
136317	A10BB07	APAMID	5MG	5	250	250
136439	C09DA07	KINZALKOMB	80/25 MG		28 FOL	28
136450	C09DA07	KINZALKOMB	80/25 MG		98 FOL	98
136459	R06AX27	DESLORATADINE RATIOPHARM	"0,5 MG/ML"	0.5	120 ML	120
136461	C07AG02	CARVEDILOL STADA	"6,25 MG"	6.25	28 FOL	28
136472	C07AG02	CARVEDILOL STADA	"6,25 MG"	6.25	100 FOL	100
136483	C07AG02	CARVEDILOL STADA	"12,5 MG"	12.5	28 FOL	28
136499	R03BA02	PULMICORT TURBUHALER	400MIKROG/ANN	400	200	200
136584	G03AA12	YAZ	0.02 mg / 3 mg		28	28
136595	G03AA12	YAZ	0.02 mg / 3 mg		3 x 28	84
136598	D01AC07	TROSYD	0.01		100G	100
136606	C08DB01	DILPRAL	90MG	90	30 FOL	30
136607	G03AA12	YAZ	0.02 mg / 3 mg		6 x 28	168
136629	C09BA02	ENALAPRIL COMP STADA	"20 MG/12,5 MG"		30 FOL	30
136648	R05DB05	TOCLASE	25MG	25	50 FOL	50
136653	N06AX26	BRINTELLIX	5 MG	5	28 FOL	28
136655	R05DB05	TOCLASE	1.5MG/ML	1.5	500ML	500
136663	C08DB01	DILPRAL	90 MG	90	100 FOL	100
136713	C08DB01	DILPRAL	120MG	120	30 FOL	30
136776	C10AA01	SIMVASTATIN RATIOPHARM	10 mg	10	250	250
136887	L01AD02	LOMUSTINE MEDAC	40 mg	40	20	20
136889	J05AR18	GENVOYA	150 mg / 150 mg / 200 mg / 10 mg		30	30
136902	M01AH05	ETORICOXIB ORION	90 mg	90	7	7
136919	G03AA12	LINATERA	0.02 mg / 3 mg		28	28
136945	R05CB15	ERDOPECT	300 mg	300	20	20
137000	C08DB01	DILPRAL	120 MG	120	100 FOL	100
137007	C09CA06	CANDESARTAN ACTAVIS	4 MG	4	30 FOL	30
137028	L01XX52	VENCLYXTO	100 mg	100	7 (7 x 1)	7
137257	M01AG02	CLOTAM	200MG	200	50	50
137281	M01AG02	CLOTAM RETARD	300MG	300	30	30
137340	N04BC05	PRAMIPEXOLE ACCORD	"0,7 MG"	0.7	100 FOL	100
137370	G03CX01	TIBELIA	2.5 mg	2.5	3 x 28	84
137388	N05AH04	QUETIAPIN HEXAL	200 mg	200	60	60
137416	M01AH01	CELECOXIB PFIZER	200 MG	200	30 FOL	30
137437	C07AB02	METOPROLOL KRKA	23.75 mg	23.75	100	100
137460	L01XE24	ICLUSIG	45 mg	45	30	30
137513	S01XA20	OCULAC	50MG/ML	50	10ML	10
137521	S01XA20	OCULAC	50MG/ML	50	20X0.4ML	20
137524	C09AA05	RAMIPRIL HEXAL	5 MG	5	100 KPL	100
137537	L01BA01	METHOTREXAT ACCORD	25 mg/ml	25	20 ml	20
137565	C10AA05	ORBEOS	20 MG	20	90 KPL	90
137588	D05AC01	MICANOL	0.01	0.01	50G	50
137620	G01AE10	TRIPLE-SULFA			80G	80
137635	N05AH04	QUETIAPIN RATIOPHARM	400 MG	400	100 FOL	100
137648	R03BA02	BUDESONID EASYHALER	200 mikrog/annos	200	200 annosta	200
137657	N05AX08	RISPERDAL CONSTA	25 MG	25	1 PAKKAUS	1
137679	A09AA02	CREON			100	100
137703	C08CA05	ENILEVOL	20MG	20	30	30
137711	C08CA05	ENILEVOL	20MG	20	100	100
137721	L01BB04	MAVENCLAD	10 mg	10	6	6
137754	N04BC05	OPRYMEA	"2,62 MG"	2.62	100 FOL	100
137797	B02BD02	AFSTYLA	2500 IU	2500	2500 IU + 5 ml	1
137828	C08CA07	SYSCOR	5MG	5	28	28
137883	N05AH04	QUETIAPIN KRKA	200 mg	200	100	100
137935	R03AC02	VENTOLINE	0.2MG	0.2	100 KAPS	100
137943	R03AC02	VENTOLINE	0.4MG	0.4	100 KAPS	100
137979	N05AE04	ZIPRASIDON PFIZER	20 mg	20	60	60
137984	C08CA07	SYSCOR	5 MG	5	98	98
138040	C08CA07	SYSCOR	10MG	10	28	28
138113	J01MA14	AVELOX	400 mg / 250 ml		5 x 250 ml	5
138214	C08CA05	NIFANGIN	20MG	20	30	30
138217	R06AX26	FEXORIN	120 mg	120	100	100
138230	C08CA05	NIFANGIN	20MG	20	100	100
138261	C10AA07	ROSUVASTATIN MYLAN	10 mg	10	30	30
138263	N05AB03	PERATSIN	108 MG/ML	108	1 ML	1
138277	N05AH02	CLOZAPINE ORION	100 mg	100	50	50
138281	H02AB06	PREDNISOLON ALTERNOVA	5 MG	5	100 KPL	100
138302	N03AX16	PREGABALIN KRKA	300 mg	300	56	56
138305	N01BB02	LIDOCAIN	10MG/ML	10	50ML	50
138321	N01BB52	LIDOCAIN CUM ADRENALIN	5MG/ML	5	50ML	50
138339	N05AB03	PERATSIN	108 MG/ML	108	10 X 1 ML	10
138354	N01BB52	LIDOCAIN CUM ADRENALIN	20MG/ML	20	50ML	50
138388	C08CA07	SYSCOR	10 MG	10	98	98
138389	N06DX01	ADAXOR	10 MG	10	28 FOL	28
138421	A10AE04	ABASAGLAR	100 U/ML	100	5 X 3 ML	15
138479	C10AC02	LESTID	10G	10	28	28
138505	J05AP56	VOSEVI	400 mg / 100 mg / 100 mg		28	28
138514	L01XE10	VOTUBIA	5 mg	5	30	30
138537	N02AJ08	ARDINEX			20 FOL	20
138552	R03AC02	SALBUVENT	0.1MG/DOS	0.1	10ML/C 200 DOS	200
138586	R03AC02	SALBUVENT FORTE	0.2MG/DOS	0.2	10ML/C 200 DOS	200
138602	L02BG02	LENTARON DEPOT			1+SOL	1
138603	N07BB05	SELINCRO	18 MG	18	28 FOL	28
138612	A02BC05	ESOMEPRAZOL RATIOPHARM	40 MG	40	28 FOL	28
138683	B05BA03	GLUCOS B. BRAUN	50 mg/ml	50	20 x 100 ml	20
138693	R03BB02	VENTOX	0.1MG/DOS	0.1	15ML/300 DOS	300
138701	N01BB02	LIDOCAIN	5MG/ML	5	20ML	20
138724	C09CA07	TOLURA	80 MG	80	98 FOL	98
138735	M01AE51					
138743	N02AJ08	ARDINEX			100 FOL	100
138792	M03BX02	SIRDALUD	2 MG	2	30 FOL	30
138817	N07BC51	BUPRENORPHINE/NALOXONE MYLAN	2 mg / 0.5 mg	2	28 x 1	28
138828	N06AB03	FLUOXETINE VITABALANS	20 MG	20	30 FOL	30
138859	M03BX02	SIRDALUD	2 MG	2	100 FOL	100
138864	B05BB02	PERUSLIUOS-K			20 x 500 ml	20
138902	J05AE10	DARUNAVIR KRKA	800 mg	800	30	30
138904	M03AB01	SUKOLIN	50 mg/ml	50	5 x 2 ml	2
139013	B01AF01	XARELTO	15 MG	15	42 FOL	42
139022	N02AX02	TRAMADOL GEA	100MG	100	10 FOL	10
139030	N02AX02	TRAMADOL GEA	100 MG	100	30 FOL	30
139048	N02AX02	TRAMADOL GEA	100 MG	100	100 FOL	100
139063	M01AB05	VOLTAREN	50 MG	50	30 FOL	30
139082	H02AB04	MEDROL	4 mg	4	30	30
139083	C09DA03	VALSARSTAD COMP	160/25 MG		98 FOL	98
139097	J01MB06	CINOBACTIN	500MG	500	10 FOL	10
139154	G03DA02	GESTAPURAN	5MG		20 FOL	20
139223	N06AB06	SERTRALINE ACCORD	100 mg	100	30	30
139229	B05BB01	CALCIUMGLUCONAT B. BRAUN	100 mg/ml	100	20 x 10 ml	20
139295	C01DA08	ISO-MACK	1.25MG/DOS	1.25	200 DOS	200
139303	N07CA02	GLANIL	10 MG	10	100	100
139316	S01EC03	DORZOLAMID ACTAVIS	20 MG/ML	20	5 ML	5
139353	N05AX08	RISPERIDON MYLAN	"0,5 MG"	0.5	60 FOL	60
139394	N02AX02	TRAMADOL GEA	50 MG	50	20 FOL	20
139398	L01XX19	IRINOTECAN FRESENIUS KABI	20 mg/ml	20	2 ml	2
139402	N02AX02	TRAMADOL GEA	50 MG	50	100 FOL	100
139403	A03BA01	ATROPIN STRAGEN	0.2 mg/ml	0.2	10 x 5 ml	10
139409	L01XX19	IRINOTECAN FRESENIUS KABI	20 mg/ml	20	5 ml	5
139495	N06DX01	MEMANTINE ACCORD	10 MG	10	98 FOL	98
139528	A02BC03	LANSOPRAZOL MYLAN	15 mg	15	28	28
139631	J06BA01	HIZENTRA	200 mg/ml	200	50 ml	50
139659	R03BB01	ATROVENT	0.25MG/ML	0.25	5X20ML	100
139733	M01AE02	NAPROMEX	250 MG	250	30 FOL	30
139739	A02BC05	ESOMEPRAZOL RATIOPHARM	20 MG	20	56 FOL	56
139741	M01AE02	NAPROMEX	250 MG	250	100 FOL	100
139742	A02BC02	PANTOPRAZOL ACTAVIS	40 mg	40	100	100
139758	M01AE02	NAPROMEX	500 MG	500	30 FOL	30
139761	G04BE03	SILDENAFIL ORION	100 MG	100	12 FOL	12
139766	M01AE02	NAPROMEX	500 MG	500	100 FOL	100
139881	N02AA01	DOLCONTIN	100MG	100	100 FOL	100
139882	L01AX03	TEMOMEDAC	100 MG	100	20 KPL	20
139915	R02AD02	XYLOCAIN	5MG/ML	5	300ML	300
139927	C09BB02	ZANIPRESS	10/10 MG		28 FOL	28
139938	C09BB02	ZANIPRESS	10/10 MG		98 FOL	98
139950	C09BB02	ZANIPRESS	20/10 MG		28 FOL	28
139959	N06DA03	NIMVASTID	"4,5 MG"	4.5	112 FOL	112
139961	C09BB02	ZANIPRESS	20/10 MG		98 FOL	98
139970	L01XX44	ZALTRAP	25 mg/ml	25	8 ml	8
139973	C07BB07	BISOSTAD	"5 MG/12,5 MG"		30 FOL	30
139980	R03BC03	TILADE MINT	2MG/DOS	2	2X56 DOS	112
139984	C07BB07	BISOSTAD	"5 MG/12,5 MG"		100 FOL	100
139995	C07BB07	BISOSTAD	10 MG/25 MG		30 FOL	30
140006	C07BB07	BISOSTAD	10 MG/25 MG		100 FOL	100
140013	D07AB02	LOCOID	0.001	0.001	30 g	30
140028	N05CF01	ZOPITABS	"7,5 MG"	7.5	30 FOL	30
140039	N05CF01	ZOPITABS	"7,5 MG"	7.5	100 FOL	100
140070	C09BX02	COSYREL	5 mg / 5 mg		3 x 30	90
